zcrtname,zstate1,zcity3,推理,省,市,地区
China,sichuan,cuiping district,sichuan指四川，无需修改。cuiping district指四川宜宾的翠屏区，宜宾是地级市，返回yibin。将原输入市cuiping district输入填充到地区,sichuan,yibin,cuiping district
China,shandong,zhifu district,shandong指山东，无需修改。zhifu district指山东烟台的芝罘区，烟台是地级市，返回yantai。将原输入市zhifu district输入填充到地区,shandong,yantai,zhifu district
China,shandong,penglai district,shandong指山东，无需修改。penglai district指山东烟台的蓬莱区，烟台是地级市，返回yantai。将原输入市penglai district输入填充到地区,shandong,yantai,penglai district
China,heilongjiang,nangang district,heilongjiang指黑龙江，无需修改。nangang district指黑龙江哈尔滨的南岗区，哈尔滨是地级市，返回haerbin。将原输入市nangang district输入填充到地区,heilongjiang,haerbin,nangang district
China,guangxi zhuang,jiangnan district,guangxi zhuang指广西壮族自治区，无需修改。jiangnan district指广西南宁的江南区，南宁是地级市，返回nanning。将原输入市jiangnan district输入填充到地区,guangxi zhuang,nanning,jiangnan district
China,fujian,siming district,fujian指福建，无需修改。siming district指福建厦门的思明区，厦门是地级市，返回xiamen。将原输入市siming district输入填充到地区,fujian,xiamen,siming district
China,shanghai,xuhui district,shanghai指上海，直辖市，无需修改。xuhui district指上海的徐汇区,shanghai,shanghai,xuhui district
China,guangdong,nanhai district,guangdong指广东，无需修改。nanhai district指广东佛山的南海区，佛山是地级市，返回foshan。将原输入市nanhai district输入填充到地区,guangdong,foshan,nanhai district
China,shandong,jinan,shandong指山东，无需修改。jinan是山东省会济南，无需更改,shandong,jinan,null
China,shandong,licheng district,shandong指山东，无需修改。licheng district指山东济南的历城区，济南是地级市，返回jinan。将原输入市licheng district输入填充到地区,shandong,jinan,licheng district
China,jilin,changchun,jilin指吉林，无需修改。changchun是吉林省会长春，无需更改,jilin,changchun,null
China,chongqing,yubei qu,chongqing指重庆，直辖市，无需修改。yubei qu指重庆的渝北区，去除多余空格和qu后缀，返回yubei,chongqing,chongqing,yubei
China,jiangsu,yangzhou,jiangsu指江苏，无需修改。yangzhou指江苏扬州，符合格式无需修改。输入没有提供地区名，填充为null,jiangsu,yangzhou,null
China,guangdong,zhuhai,guangdong指广东，无需修改。zhuhai指广东珠海，符合格式无需修改。输入没有提供地区名，填充为null,guangdong,zhuhai,null
China,guangdong,xiangzhou district,guangdong指广东，无需修改。xiangzhou district指广东珠海的香洲区，珠海是地级市，返回zhuhai。将原输入市xiangzhou district输入填充到地区,guangdong,zhuhai,xiangzhou district
China,liaoning,dalian,liaoning指辽宁，无需修改。dalian指辽宁大连，符合格式无需修改。输入没有提供地区名，填充为null,liaoning,dalian,null
China,beijing,No Data,beijing指北京，直辖市，无需修改。No Data无法识别，返回原输入,beijing,No Data,null
China,fujian,taijiang district,fujian指福建，无需修改。taijiang district指福建福州的台江区，福州是地级市，返回fuzhou。将原输入市taijiang district输入填充到地区,fujian,fuzhou,taijiang district
China,hubei,hanyang,hubei指湖北，无需修改。hanyang指湖北武汉的汉阳区，武汉是地级市，返回wuhan。将原输入市hanyang输入填充到地区,hubei,wuhan,hanyang
China,yunnan,kunming,yunnan指云南，无需修改。kunming指云南昆明，符合格式无需修改。输入没有提供地区名，填充为null,yunnan,kunming,null
China,jiangsu,gulou district,jiangsu指江苏，无需修改。gulou district指江苏南京的鼓楼区，南京是地级市，返回nanjing。将原输入市gulou district输入填充到地区,jiangsu,nanjing,gulou district
China,shanghai,jing\u0027an district,shanghai指上海，直辖市，无需修改。jing'an district指上海的静安区，去除多余符号后返回jingan,shanghai,shanghai,jingan
China,zhejiang,gongshu district,zhejiang指浙江，无需修改。gongshu district指浙江杭州的拱墅区，杭州是地级市，返回hangzhou。将原输入市gongshu district输入填充到地区,zhejiang,hangzhou,gongshu district
China,beijing,xibeiwang zhen,beijing指北京，直辖市，无需修改。xibeiwang zhen指北京海淀区的西北旺镇，将原输入市xibeiwang zhen输入填充到地区,beijing,beijing,xibeiwang zhen
China,guangdong,huizhou,guangdong指广东，无需修改。huizhou指广东惠州，符合格式无需修改。输入没有提供地区名，填充为null,guangdong,huizhou,null
China,sichuan,neijiang,sichuan指四川，无需修改。neijiang指四川内江，符合格式无需修改。输入没有提供地区名，填充为null,sichuan,neijiang,null
China,jiangxi,xinjian district,jiangxi指江西，无需修改。xinjian district指江西南昌的新建区，南昌是地级市，返回nanchang。将原输入市xinjian district输入填充到地区,jiangxi,nanchang,xinjian district
China,jiangsu,qinhuai district,jiangsu指江苏，无需修改。qinhuai district指江苏南京的秦淮区，南京是地级市，返回nanjing。将原输入市qinhuai district输入填充到地区,jiangsu,nanjing,qinhuai district
China,hunan,yuelu district,hunan指湖南，无需修改。yuelu district指湖南长沙的岳麓区，长沙是地级市，返回changsha。将原输入市yuelu district输入填充到地区,hunan,changsha,yuelu district
China,shaanxi,xi an,shaanxi指陕西，无需修改。xi an指陕西西安，符合格式无需修改。输入没有提供地区名，填充为null,shaanxi,xian,null
China,fujian,longyan,fujian指福建，无需修改。longyan指福建龙岩，符合格式无需修改。输入没有提供地区名，填充为null,fujian,longyan,null
China,hubei,jiangxia qu,hubei指湖北，无需修改。jiangxia qu指湖北武汉的江夏区，武汉是地级市，返回wuhan。将原输入市jiangxia qu输入填充到地区,hubei,wuhan,jiangxia qu
China,jiangsu,binhu district,jiangsu指江苏，无需修改。binhu district指江苏无锡的滨湖区，无锡是地级市，返回wuxi。将原输入市binhu district输入填充到地区,jiangsu,wuxi,binhu district
China,shandong,tengzhou,shandong指山东，无需修改。tengzhou指山东枣庄的滕州市，枣庄是地级市，返回zaozhuang。将原输入市tengzhou输入填充到地区,shandong,zaozhuang,tengzhou
China,xinjiang uygur,ürümqi county,xinjiang uygur指新疆维吾尔自治区，无需修改。ürümqi county指乌鲁木齐县，乌鲁木齐是地级市，返回wulumuqi。将原输入市ürümqi county输入填充到地区,xinjiang uygur,wulumuqi,ürümqi county
China,shandong,qingdao,shandong指山东，无需修改。qingdao指山东青岛，符合格式无需修改。输入没有提供地区名，填充为null,shandong,qingdao,null
China,guangdong,huangpu,guangdong指广东，无需修改。huangpu指广东广州的黄埔区，广州是地级市，返回guangzhou。将原输入市huangpu输入填充到地区,guangdong,guangzhou,huangpu
China,henan,zhengzhou,henan指河南，无需修改。zhengzhou指河南郑州，符合格式无需修改。输入没有提供地区名，填充为null,henan,zhengzhou,null
China,zhejiang,kecheng district,zhejiang指浙江，无需修改。kecheng district指浙江衢州的柯城区，属于衢州，衢州是地级市，返回quzhou。将原输入市kecheng district填充到地区,zhejiang,quzhou,kecheng district
China,sichuan,shuangliu,sichuan指四川，无需修改。shuangliu指四川的双流区，双流区属于成都，成都是地级市，返回chengdu。将原输入市shuangliu填充到地区,sichuan,chengdu,shuangliu
China,jiangsu,wuxi,jiangsu指江苏，无需修改。wuxi指江苏的无锡，无锡是地级市，符合格式无需修改。输入没有提供地区名，填充为null,jiangsu,wuxi,null
China,hubei,tianhe,hubei指湖北，无需修改。tianhe指湖北的天河街道，天河街道属于武汉，武汉是地级市，返回wuhan。将原输入市tianhe填充到地区,hubei,wuhan,tianhe
China,shanghai,jiading district,shanghai指上海，无需修改。jiading district指上海的嘉定区，嘉定区属于上海市，返回shanghai。将原输入市jiading district填充到地区,shanghai,shanghai,jiading district
China,henan,xinxian county,henan指河南，无需修改。xinxian county指河南的新县，新县属于信阳，信阳是地级市，返回xinyang。将原输入市xinxian county填充到地区,henan,xinyang,xinxian county
China,fujian,xiamen,fujian指福建，无需修改。xiamen指福建的厦门，厦门是地级市，符合格式无需修改。输入没有提供地区名，填充为null,fujian,xiamen,null
China,zhejiang,yinzhou district,zhejiang指浙江，无需修改。yinzhou district指浙江宁波的鄞州区，鄞州区属于宁波，宁波是地级市，返回ningbo。将原输入市yinzhou district填充到地区,zhejiang,ningbo,yinzhou district
China,yunnan,chenggong district,yunnan指云南，无需修改。chenggong district指云南昆明的呈贡区，呈贡区属于昆明，昆明是地级市，返回kunming。将原输入市chenggong district填充到地区,yunnan,kunming,chenggong district
China,guangdong,liaobuzhen,guangdong指广东，无需修改。liaobuzhen无法确定具体位置，返回原输入,guangdong,liaobuzhen,null
China,guangdong,qingcheng,guangdong指广东，无需修改。qingcheng指广东的清城区，清城区属于清远，清远是地级市，返回qingyuan。将原输入市qingcheng填充到地区,guangdong,qingyuan,qingcheng
China,henan,tianpuxiang,henan指河南，无需修改。tianpuxiang无法确定具体位置，返回原输入,henan,tianpuxiang,null
China,chongqing,yongchang,chongqing指重庆，无需修改。yongchang无法确定具体位置，返回原输入,chongqing,yongchang,null
China,zhejiang,dongqianhuzhen,zhejiang指浙江，无需修改。dongqianhuzhen指浙江宁波的东钱湖镇，东钱湖镇属于宁波，宁波是地级市，返回ningbo。将原输入市dongqianhuzhen填充到地区,zhejiang,ningbo,dongqianhuzhen
China,guizhou,guiyang,guizhou指贵州，无需修改。guiyang指贵州的贵阳，贵阳是地级市，符合格式无需修改。输入没有提供地区名，填充为null,guizhou,guiyang,null
China,jiangsu,weitingzhen,jiangsu指江苏，无需修改。weitingzhen无法确定具体位置，返回原输入,jiangsu,weitingzhen,null
China,anhui,baohe district,anhui指安徽，无需修改。baohe district指安徽合肥的包河区，包河区属于合肥，合肥是地级市，返回hefei。将原输入市baohe district填充到地区,anhui,hefei,baohe district
China,fujian,fuzhou,fujian指福建，无需修改。fuzhou指福建的福州，福州是地级市，符合格式无需修改。输入没有提供地区名，填充为null,fujian,fuzhou,null
China,shanghai,yangpu district,shanghai指上海，无需修改。yangpu district指上海的杨浦区，杨浦区属于上海市，返回shanghai。将原输入市yangpu district填充到地区,shanghai,shanghai,yangpu district
China,inner mongolia,baotou,inner mongolia指内蒙古，无需修改。baotou指内蒙古的包头，包头是地级市，符合格式无需修改。输入没有提供地区名，填充为null,inner mongolia,baotou,null
China,guangdong,foshan,guangdong指广东，无需修改。foshan指广东的佛山，佛山是地级市，符合格式无需修改。输入没有提供地区名，填充为null,guangdong,foshan,null
China,zhejiang,ningbo,zhejiang指浙江，无需修改。ningbo指浙江的宁波，宁波是地级市，符合格式无需修改。输入没有提供地区名，填充为null,zhejiang,ningbo,null
China,zhejiang,quzhou,zhejiang指浙江，无需修改。quzhou指浙江的衢州，衢州是地级市，符合格式无需修改。输入没有提供地区名，填充为null,zhejiang,quzhou,null
China,jiangsu,nantong,jiangsu指江苏，无需修改。nantong指江苏的南通，南通是地级市，符合格式无需修改。输入没有提供地区名，填充为null,jiangsu,nantong,null
China,fujian,maxiangzhen,fujian指福建，无需修改。maxiangzhen无法确定具体位置，返回原输入,fujian,maxiangzhen,null
China,guangdong,shiyan,guangdong指广东，无需修改。shiyan指广东深圳的石岩街道，石岩街道属于深圳，深圳是地级市，返回shenzhen。将原输入市shiyan填充到地区,guangdong,shenzhen,shiyan
China,jiangsu,taizhou,jiangsu指江苏，无需修改。taizhou指江苏的泰州，泰州是地级市，符合格式无需修改。输入没有提供地区名，填充为null,jiangsu,taizhou,null
China,guangdong,nanshan qu,guangdong指广东，无需修改。nanshan qu指广东深圳的南山区，南山区属于深圳，深圳是地级市，返回shenzhen。将原输入市nanshan qu填充到地区,guangdong,shenzhen,nanshan qu
China,ningxia hui,yinchuan,ningxia hui指宁夏回族自治区，无需修改。yinchuan指宁夏的银川，银川是地级市，符合格式无需修改。输入没有提供地区名，填充为null,ningxia hui,yinchuan,null
China,shaanxi,xixiang,shaanxi指陕西，无需修改。xixiang无法确定具体位置，返回原输入,shaanxi,xixiang,null
China,beijing,xicheng district,beijing指北京，无需修改。xicheng district指北京的西城区，西城区属于北京市，返回beijing。将原输入市xicheng district填充到地区,beijing,beijing,xicheng district
China,anhui,yaohai district,anhui指安徽，无需修改。yaohai district指安徽合肥的瑶海区，瑶海区属于合肥，合肥是地级市，返回hefei。将原输入市yaohai district填充到地区,anhui,hefei,yaohai district
China,guangdong,nansha district,guangdong指广东，无需修改。nansha district指广东广州的南沙区，南沙区属于广州，广州是地级市，返回guangzhou。将原输入市nansha district填充到地区,guangdong,guangzhou,nansha district
China,sichuan,No Data,sichuan指四川，无需修改。no data无法识别，返回原输入,sichuan,no data,null
China,beijing,fengtai district,beijing指北京，无需修改。fengtai district指北京的丰台区，丰台区属于北京市，返回beijing。将原输入市fengtai district填充到地区,beijing,beijing,fengtai district
China,guangdong,xixiang,guangdong指广东，无需修改。xixiang指广东深圳的西乡街道，西乡街道属于深圳，深圳是地级市，返回shenzhen。将原输入市xixiang填充到地区,guangdong,shenzhen,xixiang
China,guangdong,huadongzhen,guangdong指广东，无需修改。huadongzhen无法确定具体位置，返回原输入,guangdong,huadongzhen,null
China,zhejiang,linhai,zhejiang指浙江，无需修改。linhai指浙江的临海，临海是县级市，所属地级市是台州，返回taizhou。将原输入市linhai填充到地区,zhejiang,taizhou,linhai
China,hubei,daye,hubei指湖北，无需修改。daye指湖北的大冶市，大冶市是县级市，所属地级市是黄石，返回huangshi。将原输入市daye填充到地区,hubei,huangshi,daye
China,beijing,weishanzhuangzhen,beijing指北京，无需修改。weishanzhuangzhen无法确定具体位置，返回原输入,beijing,weishanzhuangzhen,null
China,shandong,xuecheng district,shandong指山东，无需修改。xuecheng district指山东枣庄的薛城区，薛城区属于枣庄，枣庄是地级市，返回zaozhuang。将原输入市xuecheng district填充到地区,shandong,zaozhuang,xuecheng district
China,jiangsu,guangling district,jiangsu指江苏，无需修改。guangling district指江苏扬州的广陵区，广陵区属于扬州，扬州是地级市，返回yangzhou。将原输入市guangling district填充到地区,jiangsu,yangzhou,guangling district
China,xinjiang uygur,urumqi,xinjiang uygur指新疆维吾尔自治区，无需修改。urumqi指新疆的乌鲁木齐，乌鲁木齐是地级市，符合格式无需修改。输入没有提供地区名，填充为null,xinjiang uygur,urumqi,null
China,guangdong,pengjiang district,guangdong指广东，无需修改。pengjiang district指广东江门的蓬江区，蓬江区属于江门，江门是地级市，返回jiangmen。将原输入市pengjiang district填充到地区,guangdong,jiangmen,pengjiang district
China,guizhou,dongfengzhen guiyang,guizhou指贵州，无需修改。dongfengzhen guiyang指贵州贵阳的东风镇，东风镇属于贵阳，贵阳是地级市，返回guiyang。将原输入市dongfengzhen guiyang填充到地区,guizhou,guiyang,dongfengzhen guiyang
China,inner mongolia,xincheng district,inner mongolia指内蒙古，无需修改。xincheng district指内蒙古呼和浩特的新城区，新城区属于呼和浩特，呼和浩特是地级市，返回huhehaote。将原输入市xincheng district填充到地区,inner mongolia,huhehaote,xincheng district
China,liaoning,panjin,liaoning指辽宁，无需修改。panjin指辽宁的盘锦，盘锦是地级市，符合格式无需修改。输入没有提供地区名，填充为null,liaoning,panjin,null
China,shandong,shizhong district,shandong指山东，无需修改。shizhong district指山东济南的市中区，市中区属于济南，济南是地级市，返回jinan。将原输入市shizhong district填充到地区,shandong,jinan,shizhong district
China,jiangsu,yunlong district,jiangsu指江苏，无需修改。yunlong district指江苏徐州的云龙区，云龙区属于徐州，徐州是地级市，返回xuzhou。将原输入市yunlong district填充到地区,jiangsu,xuzhou,yunlong district
China,zhejiang,yueqing,zhejiang指浙江，无需修改。yueqing指浙江的乐清，乐清是县级市，所属地级市是温州，返回wenzhou。将原输入市yueqing填充到地区,zhejiang,wenzhou,yueqing
China,jiangsu,jianye district,jiangsu指江苏，无需修改。jianye district指江苏南京的建邺区，属于南京，南京是地级市，返回nanjing。将原输入市jianye district输入填充到地区,jiangsu,nanjing,jianye district
China,shandong,shinan district,shandong指山东，无需修改。shinan district指山东青岛的市南区，属于青岛，青岛是地级市，返回qingdao。将原输入市shinan district输入填充到地区,shandong,qingdao,shinan district
China,hunan,changsha,hunan指湖南，无需修改。changsha指长沙，长沙是地级市，符合格式无需修改。输入没有提供地区名，填充为null。,hunan,changsha,null
China,jiangxi,ji\u0027an,jiangxi指江西，无需修改。ji'an指吉安，吉安是地级市，符合格式无需修改。输入没有提供地区名，填充为null。,jiangxi,jian,null
China,hubei,jingmen,hubei指湖北，无需修改。jingmen指荆门，荆门是地级市，符合格式无需修改。输入没有提供地区名，填充为null。,hubei,jingmen,null
China,guangdong,nangang,guangdong指广东，无需修改。nangang在广东省内无法明确对应到某个具体的市或区县，保留原始输入。,guangdong,nangang,null
China,shaanxi,hanzhong,shaanxi指陕西，无需修改。hanzhong指汉中，汉中是地级市，符合格式无需修改。输入没有提供地区名，填充为null。,shaanxi,hanzhong,null
China,inner mongolia,saihan district,inner mongolia指内蒙古，无需修改。saihan district指呼和浩特的赛罕区，属于呼和浩特，呼和浩特是地级市，返回huhehaote。将原输入市saihan district输入填充到地区,inner mongolia,huhehaote,saihan district
China,shanghai,jiangwanzhen,shanghai指上海，无需修改。jiangwanzhen在上海找不到对应的区县，保持原始输入。,shanghai,jiangwanzhen,null
China,sichuan,deyang,sichuan指四川，无需修改。deyang指德阳，德阳是地级市，符合格式无需修改。输入没有提供地区名，填充为null。,sichuan,deyang,null
China,inner mongolia,xuejiawan,inner mongolia指内蒙古，xuejiawan在内蒙古自治区内无法明确对应到某个具体的市或区县，保留原始输入。,inner mongolia,xuejiawan,null
China,shandong,dongying,shandong指山东，无需修改。dongying指东营，东营是地级市，符合格式无需修改。输入没有提供地区名，填充为null。,shandong,dongying,null
China,heilongjiang,shuangyashan,heilongjiang指黑龙江，无需修改。shuangyashan指双鸭山，双鸭山是地级市，符合格式无需修改。输入没有提供地区名，填充为null。,heilongjiang,shuangyashan,null
China,henan,fugou,henan指河南，无需修改。fugou指扶沟县，隶属于周口市，返回zhoukou。将原输入市fugou输入填充到地区,henan,zhoukou,fugou
China,zhejiang,wenzhou,zhejiang指浙江，无需修改。wenzhou指温州，温州是地级市，符合格式无需修改。输入没有提供地区名，填充为null。,zhejiang,wenzhou,null
China,shaanxi,yan\u0027an,shaanxi指陕西，无需修改。yan'an指延安，延安是地级市，符合格式无需修改。输入没有提供地区名，填充为null。,shaanxi,yanan,null
China,zhejiang,yiwu,zhejiang指浙江，无需修改。yiwu指义乌，义乌是县级市，隶属于金华市，返回jinhua。将原输入市yiwu输入填充到地区,zhejiang,jinhua,yiwu
China,henan,guancheng hui district,henan指河南，无需修改。guancheng hui district指郑州市的管城回族区，属于郑州，郑州是地级市，返回zhengzhou。将原输入市guancheng hui district输入填充到地区,henan,zhengzhou,guancheng hui district
China,beijing,fangshan district,beijing指北京，无需修改。fangshan district指北京市的房山区，属于北京，北京是直辖市，返回beijing。将原输入市fangshan district输入填充到地区,beijing,beijing,fangshan district
China,guangdong,dali,guangdong指广东，无需修改。dali在广东省内无法明确对应到某个具体的市或区县，保留原始输入。,guangdong,dali,null
China,sichuan,longquanyi district,sichuan指四川，无需修改。longquanyi district指成都市的龙泉驿区，属于成都，成都是地级市，返回chengdu。将原输入市longquanyi district输入填充到地区,sichuan,chengdu,longquanyi district
China,shanghai,songjiang district,shanghai指上海，无需修改。songjiang district指上海市的松江区，属于上海，上海是直辖市，返回shanghai。将原输入市songjiang district输入填充到地区,shanghai,shanghai,songjiang district
China,qinghai,chengxi district,qinghai指青海，无需修改。chengxi district指西宁市的城西区，属于西宁，西宁是地级市，返回xining。将原输入市chengxi district输入填充到地区,qinghai,xining,chengxi district
China,shandong,linyi,shandong指山东，无需修改。linyi指临沂，临沂是地级市，符合格式无需修改。输入没有提供地区名，填充为null。,shandong,linyi,null
China,yunnan,gejiu,yunnan指云南，无需修改。gejiu指个旧，个旧是县级市，隶属于红河哈尼族彝族自治州，返回honghe。将原输入市gejiu输入填充到地区,yunnan,honghe,gejiu
China,zhejiang,wucheng district,zhejiang指浙江，无需修改。wucheng district指金华市的婺城区，属于金华，金华是地级市，返回jinhua。将原输入市wucheng district输入填充到地区,zhejiang,jinhua,wucheng district
China,shandong,yantai,shandong指山东，无需修改。yantai指烟台，烟台是地级市，符合格式无需修改。输入没有提供地区名，填充为null。,shandong,yantai,null
China,chongqing,changshou district,chongqing指重庆，无需修改。changshou district指重庆市的长寿区，属于重庆，重庆是直辖市，返回chongqing。将原输入市changshou district输入填充到地区,chongqing,chongqing,changshou district
China,shanghai,gaodongzhen,shanghai指上海，无需修改。gaodongzhen在上海找不到对应的区县，保持原始输入。,shanghai,gaodongzhen,null
China,hebei,benchengzhen,hebei指河北，无需修改。benchengzhen在河北省内无法明确对应到某个具体的市或区县，保留原始输入。,hebei,benchengzhen,null
China,beijing,tong xian,beijing指北京，无需修改。tong xian指通州区，属于北京，北京是直辖市，返回beijing。将原输入市tong xian输入填充到地区,beijing,beijing,tong xian
China,hubei,dongbao district,hubei指湖北，无需修改。dongbao district指荆门市的东宝区，属于荆门，荆门是地级市，返回jingmen。将原输入市dongbao district输入填充到地区,hubei,jingmen,dongbao district
China,yunnan,changkouxiang,yunnan指云南，无需修改。changkouxiang在云南省内无法明确对应到某个具体的市或区县，保留原始输入。,yunnan,changkouxiang,null
China,guangdong,rongcheng district,guangdong指广东，无需修改。rongcheng district指佛山市的容桂街道，属于佛山，佛山是地级市，返回foshan。将原输入市rongcheng district输入填充到地区,guangdong,foshan,rongcheng district
China,shandong,tianqiao district,shandong指山东，无需修改。tianqiao district指济南市的天桥区，属于济南，济南是地级市，返回jinan。将原输入市tianqiao district输入填充到地区,shandong,jinan,tianqiao district
China,hunan,tianyuan district,hunan指湖南，无需修改。tianyuan district指株洲市的天元区，属于株洲，株洲是地级市，返回zhuzhou。将原输入市tianyuan district输入填充到地区,hunan,zhuzhou,tianyuan district
China,shaanxi,baota district,shaanxi指陕西，无需修改。baota district指延安市的宝塔区，属于延安，延安是地级市，返回yanan。将原输入市baota district输入填充到地区,shaanxi,yanan,baota district
China,heilongjiang,longfeng district,heilongjiang指黑龙江，无需修改。longfeng district指大庆市的龙凤区，属于大庆，大庆是地级市，返回daqing。将原输入市longfeng district输入填充到地区,heilongjiang,daqing,longfeng district
China,hubei,jiang an district,hubei指湖北，无需修改。jiang an district指武汉市的江岸区，属于武汉，武汉是地级市，返回wuhan。将原输入市jiang an district输入填充到地区,hubei,wuhan,jiang an district
China,guangdong,yuanzhouzhen,guangdong指广东，无需修改。yuanzhouzhen在广东省内无法明确对应到某个具体的市或区县，保留原始输入。,guangdong,yuanzhouzhen,null
China,shanxi,taiyuan,shanxi指山西，无需修改。taiyuan指太原，太原是地级市，符合格式无需修改。输入没有提供地区名，填充为null。,shanxi,taiyuan,null
China,shanghai,No Data,shanghai指上海，无需修改。No Data表示无数据，保持原始输入。,shanghai,No Data,null
China,hubei,jiang\u0027an district,hubei指湖北，无需修改。jiang'an district指武汉市的江岸区，属于武汉，武汉是地级市，返回wuhan。将原输入市jiang'an district输入填充到地区,hubei,wuhan,jiang'an district
China,fujian,nanping,fujian指福建，无需修改。nanping指南平，南平是地级市，符合格式无需修改。输入没有提供地区名，填充为null。,fujian,nanping,null
China,hubei,qiaokou district,hubei指湖北，无需修改。qiaokou district指武汉市的硚口区，属于武汉，武汉是地级市，返回wuhan。将原输入市qiaokou district输入填充到地区,hubei,wuhan,qiaokou district
China,jiangsu,changzhou,jiangsu指江苏，无需修改。changzhou指常州，常州是地级市，符合格式无需修改。输入没有提供地区名，填充为null。,jiangsu,changzhou,null
China,shanghai,tangzhen,shanghai指上海，无需修改。tangzhen在上海找不到对应的区县，保持原始输入。,shanghai,tangzhen,null
China,sichuan,leshan,sichuan指四川，无需修改。leshan指乐山，乐山是地级市，符合格式无需修改。输入没有提供地区名，填充为null。,sichuan,leshan,null
China,guangdong,shahe,guangdong指广东，无需修改。shahe在广东省内无法明确对应到某个具体的市或区县，保留原始输入。,guangdong,shahe,null
China,zhejiang,taizhou,zhejiang指浙江，无需修改。taizhou指台州，台州是地级市，符合格式无需修改。输入没有提供地区名，填充为null。,zhejiang,taizhou,null
China,jiangsu,chongchuan district,jiangsu指江苏，无需修改。chongchuan district指江苏南通的崇川区，属于南通，返回nantong。将原输入市chongchuan district填充到地区,jiangsu,nantong,chongchuan district
China,shandong,boxing county,shandong是山东的英文，符合格式无需修改。boxing county是指山东的博兴县，博兴县隶属于滨州市，返回binzhou。将原输入市boxing county填充到地区,shandong,binzhou,boxing county
China,jilin,nanguan district,jilin指吉林，无需修改。nanguan district指吉林长春的南关区，属于长春，返回changchun。将原输入市nanguan district填充到地区,jilin,changchun,nanguan district
China,guangdong,huadu district,guangdong指广东，无需修改。huadu district指广东广州的花都区，属于广州，返回guangzhou。将原输入市huadu district填充到地区,guangdong,guangzhou,huadu district
China,anhui,feidong county,anhui指安徽，无需修改。feidong county指安徽合肥的肥东县，属于合肥，返回hefei。将原输入市feidong county填充到地区,anhui,hefei,feidong county
China,shaanxi,lianhu district,shaanxi指陕西，无需修改。lianhu district指陕西西安的莲湖区，属于西安，返回xian。将原输入市lianhu district填充到地区,shaanxi,xian,lianhu district
China,jiangxi,donghu district,jiangxi指江西，无需修改。donghu district指江西南昌的东湖区，属于南昌，返回nanchang。将原输入市donghu district填充到地区,jiangxi,nanchang,donghu district
China,jiangxi,qingshanhu district,jiangxi指江西，无需修改。qingshanhu district指江西南昌的青山湖区，属于南昌，返回nanchang。将原输入市qingshanhu district填充到地区,jiangxi,nanchang,qingshanhu district
China,shandong,weihai,shandong指山东，无需修改。weihai指威海，威海是地级市，符合格式无需修改。输入没有提供地区名，填充为null,shandong,weihai,null
China,yunnan,wuhua district,yunnan指云南，无需修改。wuhua district指云南昆明的五华区，属于昆明，返回kunming。将原输入市wuhua district填充到地区,yunnan,kunming,wuhua district
China,guangdong,jiangmen,guangdong指广东，无需修改。jiangmen指江门，江门是地级市，符合格式无需修改。输入没有提供地区名，填充为null,guangdong,jiangmen,null
China,yunnan,dali,yunnan指云南，无需修改。dali指大理，大理是地级市，符合格式无需修改。输入没有提供地区名，填充为null,yunnan,dali,null
China,chongqing,dadukou district,chongqing是直辖市，无需修改。dadukou district指重庆的大渡口区，属于重庆，返回chongqing。将原输入市dadukou district填充到地区,chongqing,chongqing,dadukou district
China,shanghai,xinjing,shanghai是直辖市，无需修改。xinjing无法确定具体区域，保持原样,shanghai,xinjing,null
China,liaoning,wusanxiang,liaoning指辽宁，无需修改。wusanxiang无法确定具体区域，保持原样,liaoning,wusanxiang,null
China,jiangsu,yancheng,jiangsu指江苏，无需修改。yancheng指盐城，盐城是地级市，符合格式无需修改。输入没有提供地区名，填充为null,jiangsu,yancheng,null
China,beijing,miyun,beijing是直辖市，无需修改。miyun指北京的密云区，属于北京，返回beijing。将原输入市miyun填充到地区,beijing,beijing,miyun
China,guizhou,huaxi district,guizhou指贵州，无需修改。huaxi district指贵州贵阳的花溪区，属于贵阳，返回guiyang。将原输入市huaxi district填充到地区,guizhou,guiyang,huaxi district
China,inner mongolia,kangbashi district,inner mongolia指内蒙古，无需修改。kangbashi district指内蒙古鄂尔多斯的康巴什区，属于鄂尔多斯，返回ordos。将原输入市kangbashi district填充到地区,inner mongolia,ordos,kangbashi district
China,inner mongolia,hohhot,inner mongolia指内蒙古，无需修改。hohhot指呼和浩特，呼和浩特是地级市，符合格式无需修改。输入没有提供地区名，填充为null,inner mongolia,hohhot,null
China,shaanxi,yangling district,shaanxi指陕西，无需修改。yangling district指陕西咸阳的杨陵区，属于咸阳，返回xianyang。将原输入市yangling district填充到地区,shaanxi,xianyang,yangling district
China,jiangsu,qixia district,jiangsu指江苏，无需修改。qixia district指江苏南京的栖霞区，属于南京，返回nanjing。将原输入市qixia district填充到地区,jiangsu,nanjing,qixia district
China,zhejiang,haishu district,zhejiang指浙江，无需修改。haishu district指浙江宁波的海曙区，属于宁波，返回ningbo。将原输入市haishu district填充到地区,zhejiang,ningbo,haishu district
China,sichuan,dazhou,sichuan指四川，无需修改。dazhou指达州，达州是地级市，符合格式无需修改。输入没有提供地区名，填充为null,sichuan,dazhou,null
China,guangdong,buji town,guangdong指广东，无需修改。buji town指广东深圳的布吉镇，属于深圳，返回shenzhen。将原输入市buji town填充到地区,guangdong,shenzhen,buji town
